172.30.32.2 02:42:ac:1e:20:02
172.30.33.0 02:42:ac:1e:21:00
192.168.31.1 8c:68:c8:ab:2b:d0
192.168.31.230 94:a1:a2:8b:ab:70
192.168.31.24 f2:b4:29:0d:df:9f
192.168.31.104 8c:f5:a3:c4:ec:9f
192.168.31.166 7c:61:66:32:ca:78
172.18.0.3 02:42:ac:12:00:03
192.168.31.133 78:11:dc:64:e6:52
172.18.0.8 02:42:ac:12:00:08
172.18.0.7 02:42:ac:12:00:07
192.168.31.167 4c:32:75:24:8e:bc
192.168.31.250 f2:b4:29:0d:df:9f
172.18.0.4 02:42:ac:12:00:04
172.30.32.3 02:42:ac:1e:20:03
192.168.31.23 78:0f:77:eb:44:11
192.168.31.60 b8:27:eb:c0:58:a6
172.18.0.5 02:42:ac:12:00:05
192.168.31.5 3c:07:54:3f:a1:b0
