192.168.31.85 38:8b:59:06:27:2b
172.30.32.2 02:42:ac:1e:20:02
172.30.33.0 02:42:ac:1e:21:00
192.168.31.1 8c:68:c8:ab:2b:d0
192.168.31.13 f0:f0:a4:d1:6e:ec
192.168.31.211 74:da:88:7c:d5:fd
192.168.31.230 94:a1:a2:8b:ab:70
172.30.33.3 02:42:ac:1e:21:03
192.168.31.21 f2:b4:29:0d:df:9f
192.168.31.24 f2:b4:29:0d:df:9f
192.168.31.47 32:2d:d1:cb:1d:29
192.168.31.238 28:6c:07:15:ad:eb
192.168.31.104 8c:f5:a3:c4:ec:9f
192.168.31.166 7c:61:66:32:ca:78
172.18.0.3 02:42:ac:12:00:03
192.168.31.133 78:11:dc:64:e6:52
172.18.0.8 02:42:ac:12:00:08
192.168.31.216 34:ce:00:8f:d9:34
192.168.31.129 c6:ee:6c:1d:39:74
192.168.31.105 3c:71:bf:59:b3:44
192.168.31.83 4c:63:71:d4:cc:2b
192.168.31.15 74:da:88:7c:d4:ee
192.168.31.250 f2:b4:29:0d:df:9f
172.18.0.4 02:42:ac:12:00:04
192.168.31.4 78:0f:77:5a:57:19
172.30.32.3 02:42:ac:1e:20:03
192.168.31.23 78:0f:77:eb:44:11
192.168.31.60 b8:27:eb:c0:58:a6
172.18.0.5 02:42:ac:12:00:05
192.168.31.5 3c:07:54:3f:a1:b0
192.168.31.138 ec:fa:5c:7b:2f:06
